"custId","predRevenue"
1794,5.91889385427315
1796,6.50727771238501
1798,6.8330317327862
1802,6.38012253689976
1805,5.93753620508243
1806,4.59511985013459
1808,6.5191472879404
1809,6.78784498230958
1811,6.90775527898214
1814,5.32787616878958
1816,6.49072353450251
1819,4.93447393313069
1821,5.17048399503815
1824,2.484906649788
1825,6.7719355558396
1827,6.64639051484773
1828,6.37161184723186
1829,6.83195356556585
1830,5.27299955856375
1831,5.14749447681345
1832,3.89182029811063
1837,6.71174039505618
1838,6.11589212548303
1839,5.66988092298052
1841,5.75257263882563
1842,6.27852142416584
1843,6.18414889093748
1844,5.87211778947542
1848,6.88448665204278
1849,6.66057514983969
1850,0
1851,4.65396035015752
1852,6.42486902390539
1853,4.55387689160054
1855,6.21660610108486
1858,5.20948615284142
1863,6.44094654063292
1866,3.68887945411394
1868,6.54391184556479
1869,6.85118492749374
1871,6.06842558824411
1875,5.66988092298052
1877,0
1878,5.63835466933375
1879,5.33753807970132
1881,6.35088571671474
1884,4.72738781871234
1887,6.37672694789863
1888,6.77078942390898
1890,6.8001700683022
1892,4.53259949315326
1893,5.37527840768417
1894,6.58892647753352
1895,6.7696419768525
1896,6.32435896238131
1898,5.36129216570943
1901,6.86589107488344
1902,6.35088571671474
1905,5.99893656194668
1907,5.08140436498446
1909,6.21060007702465
1912,6.83410873881384
1915,6.64639051484773
1917,6.84054652928869
1919,6.03068526026126
1920,6.84694313958538
1924,4.86753445045558
1929,5.74939298590825
1930,5.83773044716594
1931,4.74493212836325
1933,6.48157712927643
1935,6.86693328446188
1939,5.31811999384422
1940,5.43372200355424
1942,5.97380961186926
1944,6.40522845803084
1945,6.56667242980324
1947,4.90527477843843
1950,4.89783979995091
1953,5.51745289646471
1955,6.09356977004514
1957,4.81218435537242
1961,5.98645200528444
1962,6.52356230614951
1964,6.27476202124194
1965,5.92425579741453
1967,1.94591014905531
1968,6.04500531403601
1971,5.98393628068719
1972,6.39526159811545
1973,4.63472898822964
1976,6.84694313958538
1980,6.73459165997295
1981,5.06259503302697
1982,6.62273632394984
1983,5.64190707093811
1984,6.57228254269401
1990,6.7900972355139
1991,6.46614472423762
1992,6.68586094706836
1993,6.2363695902037
1998,4.74493212836325
2002,6.71538338633468
2003,6.88243747099785
2004,6.10702288774225
2006,5.50533153593236
2008,5.41610040220442
2009,6.39359075395063
2010,6.5424719605068
2011,6.73101810048208
2013,5.55295958492162
2014,6.59441345974978
2016,5.27811465923052
2017,6.12686918411419
2018,6.80682936039218
2019,6.19440539110467
2022,6.1463292576689
2027,3.25809653802148
2029,5.91350300563827
2030,5.27299955856375
2033,6.50876913697168
2038,6.57786135772105
2041,6.54821910276237
2043,6.07764224334903
2045,6.51025834052315
2048,2.89037175789616
2050,4.34380542185368
2053,6.57786135772105
2054,5.77455154554441
2056,5.57594910314632
2058,5.89164421182577
2065,5.89440283426485
2068,6.30261897574491
2069,6.04973345523196
2070,6.46769872610435
2072,4.95582705760126
2074,5.38449506278909
2076,6.45362499889269
2077,6.07764224334903
2078,6.31354804627709
2080,4.81218435537242
2081,5.30826769740121
2086,5.96614673912369
2088,5.05624580534831
2090,6.89060912014717
2095,2.484906649788
2097,6.45047042214418
2099,5.87773578177964
2100,6.33150184989369
2101,6.85540879860993
2102,6.68710860786651
2107,6.8596149036542
2109,6.56667242980324
2110,6.61069604471776
2111,5.79605775076537
2113,5.37527840768417
2114,5.23110861685459
2117,5.56452040732269
2119,5.65599181081985
2121,5.01063529409626
2125,6.41836493593621
2126,5.86078622346587
2128,6.61606518513282
2129,5.74300318780948
2131,5.89164421182577
2132,2.70805020110221
2133,6.81783057145415
2134,3.61091791264422
2136,5.06259503302697
2137,5.15329159449778
2139,3.91202300542815
2140,6.86693328446188
2142,4.31748811353631
2143,4.33073334028633
2146,4.77912349311153
2148,6.25575004175337
2150,4.64439089914137
2151,6.36818718635049
2152,5.50125821054473
2154,5.8406416573734
2155,5.32787616878958
2156,6.53958595561767
2158,6.72383244082121
2159,6.55677835615804
2163,6.46614472423762
2165,5.62762111369064
2168,6.361302477573
2169,6.34212141872115
2174,6.64378973314767
2176,4.29045944114839
2177,5.48063892334199
2179,6.00635315960173
2180,6.84161547647759
2183,4.95582705760126
2184,5.38449506278909
2186,6.83195356556585
2188,6.36990098282823
2193,5.39816270151775
2194,6.83840520084734
2195,5.42053499927229
2196,3.87120101090789
2197,6.65929391968364
2199,6.67959918584438
2202,6.75693238924755
2207,6.85856503479136
2208,6.32793678372919
2209,6.80903930604298
2211,6.65027904858742
2213,6.42324696353352
2214,4.23410650459726
2215,4.70953020131233
2217,5.76832099579377
2218,6.62140565176413
2220,6.75460409948796
2222,6.4425401664682
2223,6.65929391968364
2224,6.53378883793334
2227,3.89182029811063
